Group	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21
D1	5	1	3	2	2	2	1	1	1	3	2	1	4	2	2	2	1	1	1	1	1
D1	6	1	3	2	1	4	2	1	2	3	2	2	4	1	2	2	1	1	1	1	1
D1	4	1	3	2	1	3	1	2	2	2	2	1	4	1	2	2	1	1	1	1	1
D1	7	1	3	2	1	2	2	1	1	1	2	2	4	2	2	2	1	1	1	1	1
D1	5	1	3	2	1	4	1	2	1	3	2	1	4	2	2	2	1	1	1	1	1
D1	6	1	3	2	1	3	1	1	2	1	2	2	4	2	2	2	1	1	1	1	1
D1	4	1	3	2	1	3	2	1	1	2	2	2	4	1	2	2	1	1	1	1	1
D1	4	1	3	2	1	2	1	2	2	3	2	1	4	1	2	2	1	1	1	1	1
D1	7	1	3	2	1	4	1	1	2	2	2	1	4	2	2	2	1	1	1	1	1
D1	7	1	3	2	1	2	1	1	1	3	2	1	4	2	2	2	1	1	1	1	1
D2	7	1	1	3	2	1	3	1	1	1	2	2	1	4	1	1	1	2	2	1	1
D2	5	1	1	2	1	3	4	1	2	2	2	1	1	4	1	1	1	2	2	1	1
D2	6	1	1	3	1	4	3	1	1	3	2	1	1	4	1	1	1	2	2	1	1
D2	7	1	1	2	2	4	4	1	2	1	2	1	1	4	1	1	1	2	2	1	1
D2	4	1	1	3	2	1	3	1	1	2	2	1	1	4	1	1	1	2	2	1	1
D2	5	1	1	2	2	2	4	1	2	2	2	2	1	4	1	1	1	2	2	1	1
D2	4	1	1	2	1	2	3	1	1	1	2	1	1	4	1	1	1	2	2	1	1
D2	6	1	1	3	2	3	3	1	1	3	2	2	1	4	1	1	1	2	2	1	1
D2	7	1	1	3	1	2	4	1	2	1	2	1	1	4	1	1	1	2	2	1	1
D2	6	1	1	3	2	4	4	1	2	3	2	1	1	4	1	1	1	2	2	1	1
D3	1	2	3	1	1	2	2	1	2	2	1	1	2	2	1	2	2	1	1	2	1
D3	3	2	3	1	1	4	2	2	1	2	1	1	2	2	1	2	1	1	1	2	1
D3	3	2	3	1	1	3	2	1	1	3	1	1	2	2	1	2	2	1	1	2	1
D3	1	2	3	1	1	1	2	1	2	3	1	1	2	2	1	2	1	1	1	2	1
D3	1	2	3	1	1	3	2	1	2	2	1	1	2	2	1	2	1	1	1	2	1
D3	5	1	3	1	2	1	2	2	1	3	2	2	2	2	1	2	2	1	1	2	1
D3	3	2	3	1	1	4	2	2	1	3	1	1	2	2	1	2	2	1	1	2	1
D3	1	2	3	1	1	1	2	1	1	2	1	1	2	2	1	2	1	1	1	2	2
D3	4	1	3	1	2	4	2	2	1	2	1	2	2	2	1	2	2	1	1	2	1
D3	1	2	3	1	1	2	2	2	2	3	1	1	2	2	1	2	1	1	1	2	1
D4	3	2	3	2	2	4	2	2	2	3	2	1	3	3	1	2	1	1	1	2	2
D4	1	2	2	2	1	2	2	1	1	1	2	1	2	3	1	1	1	1	1	2	2
D4	4	2	3	1	1	2	2	2	2	1	2	1	3	3	1	1	1	1	1	2	2
D4	3	2	3	2	2	2	2	2	1	3	2	1	2	3	1	2	1	1	1	2	2
D4	2	2	3	1	1	4	2	1	2	3	2	1	3	3	1	1	1	1	1	2	2
D4	2	2	3	2	1	1	2	2	2	2	2	1	3	3	1	1	1	1	1	2	2
D4	1	2	3	2	1	4	2	1	1	1	2	1	2	3	1	1	1	1	1	2	2
D4	3	2	3	1	1	2	2	2	1	1	2	1	2	3	1	1	1	1	1	2	2
D4	4	2	3	1	1	3	2	2	2	2	2	1	3	3	1	1	1	1	1	2	2
D4	4	2	2	1	1	3	2	2	2	3	2	1	3	3	1	1	1	1	1	2	2
D4	1	2	3	2	2	2	2	1	1	1	2	1	2	3	1	2	1	1	1	2	2
D4	2	2	3	2	2	4	2	2	1	2	2	2	2	3	1	2	1	1	1	2	2
D4	2	2	3	1	1	1	2	2	2	1	2	1	3	3	1	1	1	1	1	2	2
D4	2	2	3	2	2	3	4	1	2	2	2	1	3	3	1	2	1	1	1	2	2
D4	3	2	2	1	1	4	2	2	1	3	2	1	2	3	1	1	1	1	1	2	2
D4	1	2	2	2	2	3	2	2	2	1	2	2	3	3	1	2	1	1	1	2	2
D4	1	2	3	2	1	4	2	1	1	3	2	1	2	3	1	1	1	1	1	2	2
